Unnamed: 0;geometry;label;date;tile_number;id;location_id;image_dir;chemin_directory;date_satellites_S1;nouveau_chemin;latitude_centroid;longitude_centroid;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;pressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;sunrise;sunriseEpoch;sunset;sunsetEpoch;moonphase;conditions;description;icon;stations;source;timezone;folder
10;[[[30.982937, -17.747155], [30.982418, -17.793405], [31.030698, -17.793897], [31.031204, -17.747646], [30.982937, -17.747155]]];0;23/01/2019;30;sen12floods_s1_labels_0030_2019_01_23;30;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0030_2019_01_23;'0030;20190123;['sen12flood\\0030\\S1B_IW_GRDH_1SDV_20190123T162344_20190123T162409_014623_01B40F_3BD7_corrected_VH.tif', 'sen12flood\\0030\\S1B_IW_GRDH_1SDV_20190123T162344_20190123T162409_014623_01B40F_3BD7_corrected_VV.tif'];-17.770526789469834;31.006814313947523;24.3;19.1;22.2;24.3;19.1;22.2;16.8;71.9;;0.0;0.0;;;;;9.4;164.6;1017.7;90.7;14.4;;;;05:37:53;1548214673;18:37:23;1548261443;0.57;Overcast;Cloudy skies throughout the day.;cloudy;['67775099999', '67785099999', '67877099999'];obs;Africa/Harare;30
11;[[[146.608039, -19.13779], [146.60793, -19.184062], [146.656629, -19.184159], [146.656725, -19.137888], [146.608039, -19.13779]]];1;07/03/2019;39;sen12floods_s1_labels_0295_2019_03_07;295;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0295_2019_03_07;'0295;20190307;['sen12flood\\0295\\S1A_IW_GRDH_1SDV_20190307T194432_20190307T194457_026236_02EE37_2A1B_corrected_VH.tif', 'sen12flood\\0295\\S1A_IW_GRDH_1SDV_20190307T194432_20190307T194457_026236_02EE37_2A1B_corrected_VV.tif'];-19.16097577910965;146.63233065774412;32.0;21.4;26.5;35.8;21.4;28.0;21.5;75.7;7.746;100.0;8.33;['rain'];;;;27.7;92.9;1010.8;32.8;10.0;;;;06:13:22;1551903202;18:35:37;1551947737;0.0;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;['94295099999', 'YBTL', '94294099999', '95293099999', '95291099999'];obs;Australia/Brisbane;295
12;[[[32.580092, -20.197026], [32.579967, -20.243292], [32.628988, -20.243402], [32.629098, -20.197137], [32.580092, -20.197026]]];0;23/02/2019;-55;sen12floods_s1_labels_0201_2019_02_23;201;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0201_2019_02_23;'0201;20190223;['sen12flood\\0201\\S1A_IW_GRDH_1SDV_20190223T031705_20190223T031730_026051_02E795_2CA5_corrected_VH.tif', 'sen12flood\\0201\\S1A_IW_GRDH_1SDV_20190223T031705_20190223T031730_026051_02E795_2CA5_corrected_VV.tif'];-20.22021542950498;32.604536155735914;;;;;;;;;;;0.0;;;;;0.0;;;;;;;;05:44:32;1550893472;18:21:08;1550938868;0.63;;;;;comb;Africa/Harare;201
13;[[[-1.641514, 6.777297], [-1.641643, 6.730994], [-1.595327, 6.730863], [-1.595193, 6.777165], [-1.641514, 6.777297]]];0;09/02/2019;97;sen12floods_s1_labels_0097_2019_02_09;97;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0097_2019_02_09;'0097;20190209;['sen12flood\\0097\\S1B_IW_GRDH_1SDV_20190209T181740_20190209T181805_014873_01BC28_D12A_corrected_VH.tif', 'sen12flood\\0097\\S1B_IW_GRDH_1SDV_20190209T181740_20190209T181805_014873_01BC28_D12A_corrected_VV.tif'];6.75408016698927;-1.6184193309945307;33.9;25.7;29.0;39.0;25.7;31.6;23.6;74.1;;0.0;0.0;;;;;9.4;135.8;1009.8;60.0;15.3;;;;06:24:21;1549693461;18:17:05;1549736225;0.16;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['65442099999'];obs;Africa/Accra;97
14;[[[32.590636, -19.969966], [32.590517, -20.016233], [32.639466, -20.016339], [32.639572, -19.970072], [32.590636, -19.969966]]];1;25/03/2019;-65;sen12floods_s1_labels_0191_2019_03_25;191;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0191_2019_03_25;'0191;20190325;['sen12flood\\0191\\S1B_IW_GRDH_1SDV_20190325T031623_20190325T031648_015505_01D0E3_8490_corrected_VH.tif', 'sen12flood\\0191\\S1B_IW_GRDH_1SDV_20190325T031623_20190325T031648_015505_01D0E3_8490_corrected_VV.tif'];-19.99315352410085;32.61504774502789;27.4;20.9;24.2;27.5;20.9;24.2;14.9;57.7;;0.0;0.0;;;;;3.6;80.0;;15.0;26.6;;;;05:54:29;1553486069;17:56:25;1553529385;0.64;Clear;Clear conditions throughout the day.;clear-day;['67897099999', '67983099999'];obs;Africa/Harare;191
15;[[[146.656243, -19.369242], [146.656146, -19.415512], [146.704914, -19.415598], [146.704997, -19.369328], [146.656243, -19.369242]]];1;06/02/2019;75;sen12floods_s1_labels_0331_2019_02_06;331;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0331_2019_02_06;'0331;20190206;['sen12flood\\0331\\S1A_IW_GRDH_1SDV_20190206T084322_20190206T084356_025806_02DECC_48D4_corrected_VH.tif', 'sen12flood\\0331\\S1A_IW_GRDH_1SDV_20190206T084322_20190206T084356_025806_02DECC_48D4_corrected_VV.tif'];-19.39242110705882;146.68057499567823;28.8;23.9;26.0;34.2;23.9;27.4;24.6;92.4;36.262;100.0;12.5;['rain'];;;;29.6;95.1;999.5;61.6;7.3;;;;06:00:43;1549396843;18:53:39;1549443219;0.04;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;['CBGR', 'YBTL', '94294099999', '95295099999', '95293099999'];obs;Australia/Brisbane;331
16;[[[32.525319, 0.304522], [32.525321, 0.258201], [32.571332, 0.258203], [32.57133, 0.304524], [32.525319, 0.304522]]];0;10/01/2019;39;sen12floods_s1_labels_39_2019_01_10;39;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_39_2019_01_10;'39;20190110;['sen12flood\\39\\S1B_IW_GRDH_1SDV_20190110T032731_20190110T032756_014426_01ADAF_D007_corrected_VH.tif', 'sen12flood\\39\\S1B_IW_GRDH_1SDV_20190110T032731_20190110T032756_014426_01ADAF_D007_corrected_VV.tif'];0.2813625;32.548325500000004;29.1;20.0;24.7;29.5;20.0;24.9;18.7;72.1;0.0;0.0;0.0;;;;;22.3;154.7;1015.4;32.5;9.7;;;;06:54:02;1547092442;19:00:19;1547136019;0.14;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['63682099999', '63705099999', 'HUEN', '63680099999'];obs;Africa/Kampala;39
17;[[[-1.595327, 6.730863], [-1.59546, 6.684562], [-1.549149, 6.684427], [-1.549012, 6.730728], [-1.595327, 6.730863]]];0;03/02/2019;103;sen12floods_s1_labels_0103_2019_02_03;103;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0103_2019_02_03;'0103;20190203;['sen12flood\\0103\\S1A_IW_GRDH_1SDV_20190203T181824_20190203T181849_025769_02DD8E_30F0_corrected_VH.tif', 'sen12flood\\0103\\S1A_IW_GRDH_1SDV_20190203T181824_20190203T181849_025769_02DD8E_30F0_corrected_VV.tif'];6.7076453332413;-1.572236998056466;29.7;21.4;25.4;34.6;21.4;27.4;22.9;87.4;;0.0;0.0;;;;;5.4;246.7;1011.1;57.5;14.0;;;;06:24:37;1549175077;18:15:38;1549217738;0.95;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['65442099999'];obs;Africa/Accra;103
18;[[[32.525317, 0.350843], [32.525319, 0.304522], [32.57133, 0.304524], [32.571328, 0.350845], [32.525317, 0.350843]]];0;26/01/2019;79;sen12floods_s1_labels_0079_2019_01_26;79;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0079_2019_01_26;'0079;20190126;['sen12flood\\0079\\S1A_IW_GRDH_1SDV_20190126T160455_20190126T160520_025650_02D94A_A0D8_corrected_VH.tif', 'sen12flood\\0079\\S1A_IW_GRDH_1SDV_20190126T160455_20190126T160520_025650_02D94A_A0D8_corrected_VV.tif'];0.3276835;32.5483235;27.3;20.7;23.9;28.6;20.7;24.2;19.9;79.5;0.3;100.0;4.17;['rain'];;;46.4;33.5;190.0;1017.0;46.3;9.8;;;;06:59:12;1548475152;19:05:21;1548518721;0.68;Rain, Partially cloudy;Partly cloudy throughout the day with morning rain.;rain;['63682099999', '63705099999', 'HUEN', '63680099999'];obs;Africa/Kampala;79
607;[[[28.344918, -15.382479], [28.345216, -15.428755], [28.392923, -15.428461], [28.392615, -15.382186], [28.344918, -15.382479]]];0;28/01/2019;48;sen12floods_s1_labels_48_2019_01_28;48;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_48_2019_01_28;'48;20190128;['sen12flood\\48\\S1B_IW_GRDH_1SDV_20190128T163241_20190128T163306_014696_01B65E_5615_corrected_VH.tif', 'sen12flood\\48\\S1B_IW_GRDH_1SDV_20190128T163241_20190128T163306_014696_01B65E_5615_corrected_VV.tif'];-15.405471059405736;28.368917924682968;25.0;17.0;20.6;25.0;17.0;20.6;17.3;82.0;;0.0;0.0;;;;38.9;24.1;98.2;1020.3;68.8;12.8;;;;05:54:51;1548647691;18:43:47;1548693827;0.75;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['67666099999', 'FLKK', '67665099999', '67667099999', '67659099999'];obs;Africa/Lusaka;48
20;[[[48.582169, 31.532204], [48.583358, 31.48605], [48.637218, 31.487056], [48.636056, 31.533212], [48.582169, 31.532204]]];0;15/03/2019;16;sen12floods_s1_labels_0272_2019_03_15;272;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0272_2019_03_15;'0272;20190315;['sen12flood\\0272\\S1B_IW_GRDH_1SDV_20190315T024546_20190315T024609_015359_01CC22_8A5B_corrected_VH.tif', 'sen12flood\\0272\\S1B_IW_GRDH_1SDV_20190315T024546_20190315T024609_015359_01CC22_8A5B_corrected_VV.tif'];31.509632433075737;48.60970034621571;24.0;15.0;18.8;24.0;15.0;18.8;8.2;54.5;;0.0;0.0;;;;;14.8;296.6;1012.6;27.1;7.8;;;;06:26:17;1552618577;18:23:21;1552661601;0.3;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['OIAW', '40811099999'];obs;Asia/Tehran;272
21;[[[146.900099, -19.230725], [146.900071, -19.276997], [146.948798, -19.277017], [146.948813, -19.230745], [146.900099, -19.230725]]];1;07/03/2019;6;sen12floods_s1_labels_6_2019_03_07;6;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_6_2019_03_07;'6;20190307;['sen12flood\\6\\S1A_IW_GRDH_1SDV_20190307T194432_20190307T194457_026236_02EE37_2A1B_corrected_VH.tif', 'sen12flood\\6\\S1A_IW_GRDH_1SDV_20190307T194432_20190307T194457_026236_02EE37_2A1B_corrected_VV.tif'];-19.25387202888889;146.92444524905372;32.0;21.6;26.6;35.8;21.6;28.0;21.5;75.7;3.631;100.0;8.33;['rain'];;;;27.7;95.9;1010.8;33.5;10.0;;;;06:12:09;1551903129;18:34:30;1551947670;0.0;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;['95296099999', 'CBGR', 'YBTL', '94294099999', '95295099999', '95293099999'];obs;Australia/Brisbane;6
22;[[[32.608955, -25.863899], [32.608803, -25.910132], [32.659924, -25.910261], [32.660056, -25.864028], [32.608955, -25.863899]]];0;31/12/2018;124;sen12floods_s1_labels_0124_2018_12_31;124;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0124_2018_12_31;'0124;20181231;['sen12flood\\0124\\S1B_IW_GRDH_1SDV_20181231T031815_20181231T031840_014280_01A906_F242_corrected_VH.tif', 'sen12flood\\0124\\S1B_IW_GRDH_1SDV_20181231T031815_20181231T031840_014280_01A906_F242_corrected_VV.tif'];-25.88708150757768;32.634434490719265;32.9;24.9;28.0;37.1;24.9;29.7;21.6;69.3;0.0;0.0;0.0;;;;;25.9;103.8;1016.9;79.2;11.9;;;;05:00:28;1546225228;18:44:12;1546274652;0.8;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['67341099999', 'FQMA'];obs;Africa/Maputo;124
23;[[[48.688807, 31.580354], [48.689945, 31.534197], [48.743837, 31.53516], [48.742726, 31.581319], [48.688807, 31.580354]]];0;15/03/2019;66;sen12floods_s1_labels_66_2019_03_15;66;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_66_2019_03_15;'66;20190315;['sen12flood\\66\\S1B_IW_GRDH_1SDV_20190315T024546_20190315T024609_015359_01CC22_8A5B_corrected_VH.tif', 'sen12flood\\66\\S1B_IW_GRDH_1SDV_20190315T024546_20190315T024609_015359_01CC22_8A5B_corrected_VV.tif'];31.557759431897136;48.716328850585626;23.8;14.9;18.6;23.8;14.9;18.6;8.4;55.7;;0.0;0.0;;;;;14.6;294.3;1012.6;29.2;7.8;;;;06:25:52;1552618552;18:22:55;1552661575;0.3;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['OIAW', '40811099999', 'OIAI', '40812099999'];obs;Asia/Tehran;66
24;[[[36.751419, -17.738249], [36.752383, -17.784428], [36.800584, -17.783497], [36.799607, -17.73732], [36.751419, -17.738249]]];0;18/02/2019;-96;sen12floods_s1_labels_0160_2019_02_18;160;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0160_2019_02_18;'0160;20190218;['sen12flood\\0160\\S1A_IW_GRDH_1SDV_20190218T030815_20190218T030840_025978_02E4EB_4380_corrected_VH.tif', 'sen12flood\\0160\\S1A_IW_GRDH_1SDV_20190218T030815_20190218T030840_025978_02E4EB_4380_corrected_VV.tif'];-17.76087454387413;36.77599811981167;28.0;24.0;25.7;32.1;24.0;26.7;23.6;88.5;6.0;100.0;8.33;['rain'];;;42.5;29.5;263.4;1008.0;77.5;13.3;;;;05:27:58;1550460478;18:05:28;1550505928;0.46;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;['FQQL', '67283099999'];obs;Africa/Maputo;160
25;[[[32.609107, -25.817666], [32.608955, -25.863899], [32.660056, -25.864028], [32.660188, -25.817795], [32.609107, -25.817666]]];0;17/01/2019;122;sen12floods_s1_labels_0122_2019_01_17;122;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0122_2019_01_17;'0122;20190117;['sen12flood\\0122\\S1A_IW_GRDH_1SDV_20190117T162225_20190117T162250_025519_02D472_6DEF_corrected_VH.tif', 'sen12flood\\0122\\S1A_IW_GRDH_1SDV_20190117T162225_20190117T162250_025519_02D472_6DEF_corrected_VV.tif'];-25.840848508167827;32.63457649071746;32.0;23.0;27.2;37.9;23.0;29.7;22.9;78.3;3.6;100.0;8.33;['rain'];;;;27.7;198.7;1010.1;56.4;10.8;;;;05:12:58;1547694778;18:45:39;1547743539;0.37;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.;rain;['67341099999', 'FQMA'];obs;Africa/Maputo;122
26;[[[32.525319, 0.304522], [32.525321, 0.258201], [32.571332, 0.258203], [32.57133, 0.304524], [32.525319, 0.304522]]];0;03/02/2019;39;sen12floods_s1_labels_39_2019_02_03;39;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_39_2019_02_03;'39;20190203;['sen12flood\\39\\S1B_IW_GRDH_1SDV_20190203T032731_20190203T032756_014776_01B8F2_A952_corrected_VH.tif', 'sen12flood\\39\\S1B_IW_GRDH_1SDV_20190203T032731_20190203T032756_014776_01B8F2_A952_corrected_VV.tif'];0.2813625;32.548325500000004;30.2;19.0;25.0;31.3;19.0;25.4;19.1;72.5;0.0;0.0;0.0;;;;;27.7;167.2;1014.6;19.2;10.0;;;;07:00:27;1549166427;19:06:44;1549210004;0.95;Clear;Clear conditions throughout the day.;clear-day;['63682099999', '63705099999', 'HUEN', '63680099999'];obs;Africa/Kampala;39
